date,bond20_03,index300
12/16/2013,91.4782,2367.923
12/17/2013,91.2875,2356.376
12/18/2013,91.1068,2357.226
12/19/2013,90.6862,2332.41
12/20/2013,90.5755,2278.136
12/23/2013,90.5734,2284.602
12/24/2013,90.8427,2288.248
12/25/2013,90.9021,2305.11
12/26/2013,90.8314,2265.334
12/27/2013,90.7207,2303.478
12/30/2013,90.6186,2299.458
12/31/2013,90.5879,2330.026
1/2/2014,90.7866,2321.978
1/3/2014,90.6359,2290.779
1/6/2014,90.1538,2238.637
1/7/2014,90.1632,2238.001
1/8/2014,90.3725,2241.911
1/9/2014,90.6718,2222.221
1/10/2014,90.7811,2204.851
1/13/2014,90.519,2193.679
1/14/2014,90.5184,2212.846
1/15/2014,90.8977,2208.941
1/16/2014,91.217,2211.844
1/17/2014,91.2463,2178.488
1/20/2014,90.8942,2165.993
1/21/2014,91.5036,2187.41
1/22/2014,91.9829,2243.796
1/23/2014,92.4222,2231.889
1/24/2014,92.2415,2245.678
1/27/2014,92.7295,2215.919
1/28/2014,92.4788,2219.855
1/29/2014,92.7281,2227.781
1/30/2014,92.8974,2202.45
2/7/2014,92.8619,2212.483
2/10/2014,92.8699,2267.534
2/11/2014,92.9192,2285.562
2/12/2014,92.9485,2291.246
2/13/2014,92.9678,2279.554
2/14/2014,93.0671,2295.575
2/17/2014,93.1351,2311.647
2/18/2014,93.0644,2282.442
2/19/2014,93.1137,2308.656
2/20/2014,93.133,2287.436
2/21/2014,93.1523,2264.294
2/24/2014,94.0403,2214.509
2/25/2014,94.2296,2157.909
2/26/2014,94.0789,2163.405
2/27/2014,94.3582,2154.108
2/28/2014,94.3275,2178.971
3/3/2014,94.2455,2190.37
3/4/2014,93.5548,2184.273
3/5/2014,93.5541,2163.976
3/6/2014,93.3734,2173.634
3/7/2014,93.4927,2168.358
3/10/2014,93.6007,2097.787
3/11/2014,93.63,2108.661
3/12/2014,93.7693,2114.134
3/13/2014,94.0586,2140.333
3/14/2014,94.0479,2122.836
3/17/2014,94.0559,2143.038
3/18/2014,93.9252,2138.133
3/19/2014,93.6145,2120.87
3/20/2014,93.6838,2086.967
3/21/2014,93.6932,2158.798
3/24/2014,93.7311,2176.554
3/25/2014,93.7104,2174.44
3/26/2014,93.7297,2171.047
3/27/2014,93.699,2155.707
3/28/2014,93.7184,2151.965
3/31/2014,93.7063,2146.305
4/1/2014,93.5856,2163.115
4/2/2014,93.4749,2180.727
4/3/2014,92.8442,2165.008
4/4/2014,92.9836,2185.472
4/8/2014,92.7708,2237.316
4/9/2014,92.6501,2238.62
4/10/2014,92.6895,2273.761
4/11/2014,93.2588,2270.666
4/14/2014,93.2567,2268.613
4/15/2014,93.436,2229.463
4/16/2014,93.2953,2232.526
4/17/2014,91.9593,2224.803
4/18/2014,92.0986,2224.479
4/21/2014,92.0766,2187.248
4/22/2014,91.7859,2196.795
4/23/2014,91.7452,2194.668
4/24/2014,91.6645,2190.474
4/25/2014,91.7238,2167.826
4/28/2014,91.6218,2134.969
4/29/2014,91.8211,2158.47
4/30/2014,92.1804,2158.659
5/5/2014,92.177,2156.47
5/6/2014,92.5063,2157.328
5/7/2014,92.8056,2137.316
5/8/2014,93.0149,2135.496
5/9/2014,93.7942,2133.911
5/12/2014,93.6722,2180.054
5/13/2014,93.4415,2174.852
5/14/2014,93.3708,2172.372
5/15/2014,93.3201,2144.084
5/16/2014,93.2895,2145.952
5/19/2014,93.2774,2115.143
5/20/2014,93.2367,2115.771
5/21/2014,93.356,2135.905
5/22/2014,93.4253,2130.868
5/23/2014,93.4847,2148.414
5/26/2014,93.6226,2155.976
5/27/2014,93.7819,2147.28
5/28/2014,94.1912,2169.352
5/29/2014,94.3105,2155.164
5/30/2014,94.4599,2156.464
6/3/2014,94.5371,2149.918
6/4/2014,95.1364,2128.274
6/5/2014,94.8658,2150.602
6/6/2014,94.8651,2134.716
6/9/2014,94.853,2134.281
6/10/2014,94.8323,2161.268
6/11/2014,94.8116,2160.766
6/12/2014,94.871,2153.41
6/13/2014,94.7303,2176.242
6/16/2014,94.8582,2191.855
6/17/2014,94.7475,2169.674
6/18/2014,94.6868,2160.239
6/19/2014,94.6262,2126.907
6/20/2014,94.6855,2136.729
6/23/2014,94.7634,2134.11
6/24/2014,94.7927,2144.821
6/25/2014,94.8521,2133.371
6/26/2014,94.9214,2149.076
6/27/2014,94.9307,2150.258
6/30/2014,94.8986,2165.118
7/1/2014,94.6879,2164.559
7/2/2014,94.6173,2170.867
7/3/2014,94.2666,2180.192
7/4/2014,94.3659,2178.695
7/7/2014,94.2838,2176.289
7/8/2014,94.2932,2180.473
7/9/2014,94.2825,2148.71
7/10/2014,94.2518,2142.847
7/11/2014,94.2111,2148.009
7/14/2014,94.249,2171.758
7/15/2014,93.9984,2174.976
7/16/2014,93.6977,2170.868
7/17/2014,93.627,2157.068
7/18/2014,93.8163,2164.144
7/21/2014,93.8142,2166.295
7/22/2014,93.7736,2192.698
7/23/2014,93.5829,2197.833
7/24/2014,93.5822,2237.015
7/25/2014,93.7215,2260.454
7/28/2014,93.6595,2323.897
7/29/2014,93.6688,2331.369
7/30/2014,93.6981,2322.011
7/31/2014,93.9874,2350.251
8/1/2014,94.1567,2329.402
8/4/2014,94.1647,2375.62
8/5/2014,94.154,2369.353
8/6/2014,94.1933,2363.221
8/7/2014,94.1026,2327.457
8/8/2014,94.2919,2331.134
8/11/2014,94.5899,2365.349
8/12/2014,94.5792,2357.052
8/13/2014,94.5785,2358.901
8/14/2014,94.8278,2335.945
8/15/2014,94.8171,2360.635
8/18/2014,94.7751,2374.562
8/19/2014,94.7644,2374.768
8/20/2014,94.8037,2366.14
8/21/2014,94.783,2354.244
8/22/2014,94.5723,2365.364
8/25/2014,94.4703,2342.863
8/26/2014,94.8296,2324.092
8/27/2014,94.9589,2327.595
8/28/2014,94.7482,2311.278
8/29/2014,94.8575,2338.287
9/1/2014,94.8555,2355.317
9/2/2014,95.0148,2386.46
9/3/2014,94.9841,2408.838
9/4/2014,94.9134,2426.224
9/5/2014,94.9327,2449.259
9/9/2014,94.98,2445.224
9/10/2014,94.9893,2432.433
9/11/2014,94.9986,2423.454
9/12/2014,94.9679,2438.358
