,Symbol,Latest Bond Rating,estimated_dirty_price_SHCH,Coupon Description,calculated_dirty_price,FULL,fv_bond,HPR
55,1920054.IB,AAA,102.0077,3.55%,102.0318064,101.9285,104.5362087,0.025583705
182,2028020.IB,AAA,101.7169,2.58%,101.8142902,101.7134,104.3133534,0.025561562
69,1920080.IB,AAA,101.1863,3.45%,101.3345309,101.2401,103.8218183,0.025500946
198,2120010.IB,AAA,104.8673,3.58%,104.9801314,104.8868,107.5569012,0.02545698
33,1920022.IB,AAA,103.1372,3.70%,103.2654108,103.1751,105.8000922,0.02544211
179,2028015.IB,AAA,101.3718,2.17%,101.1667685,101.0826,103.6499381,0.025398418
73,1920086.IB,AAA,101.0722,3.42%,101.2372288,101.1587,103.7221279,0.025340657
86,1921020.IB,AA,103.3118,3.85%,103.2798072,103.1998,105.814842,0.025339603
51,1920047.IB,AAA,102.1937,3.46%,102.1671851,102.0933,104.6749102,0.025286774
64,1920068.IB,AAA,101.6078,3.64%,101.6994109,101.6268,104.1956544,0.025277332
14,1820013.IB,AAA,107.0513,5.00%,106.9966198,106.9214,109.6228849,0.025266083
16,1820069.IB,AAA,103.734,4.22%,103.6628682,103.5908,106.2073054,0.025258087
31,1920018.IB,AA,103.3457,3.75%,103.3966495,103.3276,105.9345522,0.02522997
49,1920044.IB,AA,103.1327,4.23%,103.3077488,103.2399,105.8434694,0.025218636
39,1920030.IB,AAA,102.7858,3.70%,103.1272691,103.0599,105.6585598,0.025215042
65,1920069.IB,AAA,101.6844,3.85%,101.8738261,101.812,104.3743506,0.025167472
191,2028046.IB,AAA,102.4337,3.48%,102.2434455,102.1823,104.7530425,0.025158393
101,1926004.IB,AAA,102.7907,3.74%,102.8223667,102.762,105.3461735,0.02514717
63,1920067.IB,AAA,101.7285,3.80%,101.856415,101.8109,104.3565122,0.025003336
48,1920043.IB,AAA,102.9352,3.70%,102.8458004,102.8088,105.3701823,0.024914038
106,1928027.IB,AAA,101.8603,3.42%,101.8334516,101.7999,104.3329851,0.024882982
34,1920023.IB,AA+,103.3672,3.99%,103.5135428,103.4796,106.0543147,0.024881374
236,2120094.IB,AAA,101.6876,3.14%,101.7687853,101.7383,104.2667316,0.024852308
45,1920038.IB,AAA,102.8973,3.70%,102.9427596,102.9123,105.4695215,0.02484855
114,2020007.IB,AAA,103.0965,2.85%,102.8865384,102.8578,105.4119203,0.024831567
121,2020018.IB,AAA,101.8792,2.40%,101.793402,101.7661,104.2919526,0.024820177
175,2028009.IB,AAA,101.9776,2.50%,101.998707,101.9733,104.5022968,0.024800578
172,2028005.IB,AAA,102.8763,2.65%,102.5218703,102.4983,105.0383013,0.024780911
228,2120073.IB,AAA,101.9679,3.05%,102.0972922,102.0749,104.6033018,0.024770064
97,1921047.IB,AAA,101.2415,3.50%,101.2851123,101.2638,103.7711867,0.024760939
115,2020008.IB,AAA,104.3706,3.10%,103.7155508,103.6942,106.261281,0.024756264
41,1920033.IB,AAA,103.2591,3.88%,103.2894486,103.2686,105.82472,0.024752151
26,1920011.IB,AAA,103.2501,3.60%,103.3582031,103.3394,105.8951621,0.02473173
154,2021025.IB,AAA,102.9508,3.62%,102.9798132,102.9628,105.5074846,0.024714602
142,2020086.IB,AAA,102.0874,3.70%,102.366982,102.3551,104.8796112,0.024664244
178,2028012.IB,AAA,101.2559,2.08%,101.041936,101.0322,103.5220415,0.02464404
215,2120048.IB,AAA,103.5711,3.33%,103.5884488,103.5805,106.1310593,0.024623934
124,2020025.IB,AAA,101.3114,2.30%,101.4925402,101.4848,103.983706,0.024623451
23,1920008.IB,AA+,103.3655,3.54%,103.3737267,103.3667,105.9110668,0.024614956
32,1920021.IB,AAA,103.2168,3.58%,103.1459137,103.1391,105.677662,0.024612994
21,1920006.IB,AAA,103.2951,3.42%,103.2731326,103.269,105.8080035,0.024586309
241,2120103.IB,AAA,101.1078,3.03%,101.3174744,101.3147,103.8043432,0.024573366
80,1921008.IB,AAA,103.3033,3.62%,103.284122,103.282,105.8192627,0.024566359
103,1928005.IB,AAA,103.1679,3.50%,103.1175219,103.1178,105.6485734,0.024542546
50,1920045.IB,AAA,102.5627,3.60%,102.563211,102.5643,105.0806567,0.024534431
46,1920041.IB,AAA,102.8818,3.70%,102.8959395,102.8971,105.4215522,0.024533754
105,1928017.IB,AAA,102.4935,3.55%,102.4169057,102.4181,104.9307603,0.024533361
100,1926001.IB,AAA,103.412,3.65%,103.3912457,103.3933,105.9290158,0.024524953
38,1920029.IB,AAA,103.1025,3.60%,103.0580409,103.0601,105.5876323,0.024524839
81,1921010.IB,AA,103.507,3.85%,103.5165098,103.5194,106.0573545,0.024516704
28,1920013.IB,AAA,103.2839,3.52%,103.2815782,103.2891,105.8166565,0.024470699
43,1920036.IB,AAA,102.895,3.65%,102.8898878,102.9027,105.4153519,0.024417745
187,2028030.IB,AAA,102.8134,3.45%,102.9079993,102.9231,105.433908,0.02439499
217,2120050.IB,AAA,103.4691,3.28%,103.3549521,103.3707,105.8918313,0.024389225
107,1928030.IB,AAA,101.7746,3.33%,101.7137313,101.7297,104.2103263,0.024384485
139,2020077.IB,AAA,102.0163,3.59%,102.1200192,102.1362,104.6265867,0.024382997
54,1920053.IB,AAA,102.1075,3.69%,102.1981288,102.2144,104.7066134,0.024382215
42,1920035.IB,AAA,102.9372,3.69%,102.9596139,102.9779,105.4867895,0.024363378
186,2028029.IB,AAA,102.6231,3.18%,102.4108796,102.4293,104.9245864,0.02436106
207,2120029.IB,AAA,104.3546,3.50%,104.5193486,104.5407,107.0848083,0.024336056
4,1720018.IB,AAA,104.3751,5.00%,104.4711512,104.4939,107.0354279,0.024322261
138,2020076.IB,AAA,102.7617,3.80%,102.7603887,102.7846,105.2826742,0.024303973
2,1720012.IB,AAA,104.0442,4.60%,104.0189111,104.0471,106.5720875,0.024267735
109,1928037.IB,AAA,101.3844,3.35%,101.1897258,101.2191,103.6734589,0.024247981
196,2120005.IB,AAA,105.1843,3.50%,105.0684659,105.1018,107.6474039,0.024220364
27,1920012.IB,AA+,103.4331,3.70%,103.4577058,103.4908,105.9971072,0.024217681
184,2028027.IB,AAA,102.4666,3.15%,102.3866038,102.4196,104.8997146,0.024215234
7,1720048.IB,AA+,103.8176,5.15%,103.9404725,103.9744,106.4917235,0.024210993
181,2028019.IB,AAA,101.4795,2.30%,101.2742845,101.3084,103.7600931,0.024200294
35,1920025.IB,AAA,103.1664,3.65%,103.1545793,103.19,105.6865403,0.024193626
78,1921005.IB,AAA,103.3806,3.64%,103.3512013,103.3898,105.8879884,0.024162813
24,1920009.IB,AA+,103.5081,3.70%,103.5038595,103.5472,106.0443937,0.024116478
185,2028028.IB,AAA,102.5192,3.19%,102.4237303,102.4676,104.9377524,0.024106668
82,1921012.IB,AAA,103.2382,3.62%,103.2367619,103.2846,105.7707402,0.024070773
173,2028007.IB,AAA,102.7045,2.75%,102.6750283,102.7251,105.1952186,0.024045911
280,2128010.IB,AAA,104.6196,3.45%,104.5326013,104.584,107.0983863,0.024041787
234,2120086.IB,AAA,101.8715,3.00%,101.7042565,101.7613,104.2006189,0.023970988
235,2120087.IB,AAA,101.9005,3.09%,101.962941,102.0207,104.4656529,0.023965263
227,2120071.IB,AAA,101.9579,3.03%,102.0960132,102.1545,104.6019914,0.023958723
279,2128007.IB,AAA,104.6676,3.45%,104.5814624,104.6415,107.1484467,0.023957481
192,2028047.IB,AAA,102.3613,3.50%,102.2388191,102.3015,104.7483025,0.023917562
277,2128005.IB,AAA,105.0121,3.45%,104.9558017,105.0245,107.5319744,0.023875137
281,2128012.IB,AAA,104.7065,3.48%,104.6106948,104.6796,107.1783966,0.023870903
108,1928034.IB,AAA,101.4873,3.35%,101.2859989,101.3533,103.7720951,0.023864986
13,1726001.IB,AAA,104.7594,5.03%,104.7336634,104.8059,107.3043835,0.023839149
25,1920010.IB,AA+,103.4617,3.75%,103.5074572,103.5793,106.0480797,0.023834683
79,1921007.IB,AA+,103.3257,3.67%,103.3167821,103.4014,105.8527245,0.023706879
60,1920062.IB,AAA,103.9225,3.80%,103.8274455,103.9154,106.3759223,0.023678129
193,2028054.IB,AAA,102.1173,3.54%,102.0291345,102.1157,104.5334711,0.023676782
293,2128041.IB,AAA,101.5059,3.03%,101.3898222,101.4763,103.8784667,0.023672195
90,1921034.IB,AAA,101.8134,3.45%,101.7594547,101.8517,104.257172,0.023617397
30,1920016.IB,AA+,103.5494,3.80%,103.5883715,103.6831,106.1309801,0.023609249
303,2228008.IB,AAA,99.9841,2.69%,99.85887562,99.9564,102.3099426,0.023545692
246,2120116.IB,AAA,101.0386,3.00%,101.007559,101.1076,103.4868207,0.023531572
291,2128035.IB,AAA,101.4738,3.03%,101.4377638,101.5442,103.927585,0.023471405
134,2020053.IB,AAA,103.2234,3.79%,103.3143538,103.4231,105.8502366,0.023468032
190,2028043.IB,AAA,102.4193,3.50%,102.381555,102.4979,104.8945419,0.023382352
99,1921051.IB,AA,101.2656,3.69%,101.4242461,101.544,103.9137355,0.023337032
286,2128020.IB,AAA,103.2681,3.18%,103.1289748,103.2519,105.6603074,0.02332555
289,2128027.IB,AAA,101.8936,2.90%,101.6731073,101.7982,104.1687051,0.023286317
40,1920031.IB,AAA,103.2912,3.85%,103.2760465,103.4096,105.810989,0.023222109
302,2228007.IB,AAA,99.9841,2.69%,99.85887562,100.0081,102.3099426,0.023016562
276,2128004.IB,AAA,104.5589,3.40%,104.4605276,104.6189,107.0245435,0.022994349
287,2128023.IB,AAA,103.2297,3.19%,103.1335156,103.2945,105.6649597,0.022948556
294,2128046.IB,AAA,101.0931,2.97%,101.0578813,101.2172,103.5383782,0.022932646
206,2120028.IB,AAA,104.5095,3.48%,104.4611207,104.6533,107.0251512,0.022663893
278,2128006.IB,AAA,104.7755,3.36%,104.6842817,104.8787,107.2537897,0.022646064
