,Symbol,Latest Bond Rating,Coupon Description,calculated_dirty_price,FULL,fv_bond
225,152917.SH,AAA,6.50%,122.30672867770537,105.9468,125.33299680035203
226,152921.SH,AAA,6.50%,122.31933003759923,106.0247,125.34590995906647
227,152924.SH,AA+,6.50%,122.33195505791348,104.0425,125.3588473636374
228,152503.SH,AAA,6.50%,120.4374842788552,104.1137,123.41750118704431
229,178941.SH,AAA,6.50%,118.499037955834,104.1137,121.43109136783411
230,178615.SH,AA+,6.50%,112.71165177536196,104.1493,115.50050634212471
231,188259.SH,AA+,6.50%,109.36499303780892,104.1671,112.0710403317067
232,178756.SH,AAA,6.50%,112.73856748350062,104.2384,115.52808803283372
233,152905.SH,AA+,6.50%,122.48245246681708,104.2562,125.51306857020963
234,178820.SH,AA+,6.50%,109.40621612864523,104.2562,112.11328341651281
235,188208.SH,AAA,6.50%,112.83595270546586,104.3986,115.62788288341088
236,163616.SH,AA+,6.50%,109.46126846907787,104.4521,112.16969793173932
237,152873.SH,AAA,6.50%,122.9903732618596,104.9685,126.03355698542713
238,152876.SH,AA+,6.50%,122.9903732618596,104.9685,126.03355698542713
239,166732.SH,AA+,6.50%,109.74238000607143,104.9685,112.45776508673129
240,152881.SH,AAA,6.50%,123.00797418640927,104.9863,126.05159341436375
241,152867.SH,AAA,6.50%,123.07854337114648,105.0932,126.12390871132652
242,178503.SH,AA+,6.50%,119.15355880325323,105.0932,122.1018071997613
243,178234.SH,AAA,6.50%,113.16612608248117,105.0932,115.96622582866345
244,178550.SH,AA+,6.50%,109.79898113057689,105.0932,112.51576670800945
245,152854.SH,AAA,6.50%,123.11122082239892,105.1466,126.1573947095013
246,155375.SH,AA+,6.50%,105.9732459066902,105.2,108.5953702935333
247,152453.SH,AA+,6.50%,121.26028153655467,105.2712,124.2606571375099
248,178389.SH,AA+,6.50%,113.29133097492625,105.3425,116.09452869927296
249,178390.SH,AA+,6.50%,113.29133097492625,105.3425,116.09452869927296
250,152452.SH,AA+,6.50%,121.33657681698031,105.3781,124.33884021247925
251,155945.SH,AAA,6.50%,106.08091095945485,105.4137,108.7056993315147
252,178252.SH,AA+,6.50%,109.96750788285006,105.4671,112.68846336281973
253,163309.SH,AA+,6.50%,110.1343868386569,105.8411,112.85947144929469
254,196594.SH,AA+,6.50%,116.33872189547165,100.9973,119.21732202898909
255,178120.SH,AA+,6.50%,113.58701572645559,105.8945,116.39752965774838
256,155231.SH,AA+,6.50%,106.27553637772662,106.2723,108.90514041860159
257,175846.SH,AAA,6.50%,113.60560686826636,103.9658,116.41658080515685
258,166064.SH,AA+,6.50%,106.36455419976292,106.1438,108.99636083243384
259,177883.SH,AA+,6.50%,107.37577523619964,100.0178,116.69343402132752
260,177639.SH,AA+,6.50%,107.38439250956885,100.0356,116.70264156669047
261,177894.SH,AA+,6.50%,107.3755247495682,100.089,110.03234609713574
262,177854.SH,AA+,6.50%,103.92572869864385,100.089,106.49719081919734
263,152732.SH,AAA,6.50%,117.58260492089181,100.1247,120.49198278502823
264,196179.SH,AAA,6.50%,107.54850369136338,100.3562,110.20960510318498
265,196177.SH,AA+,6.50%,110.9038005281952,100.5164,113.64792294768415
266,197803.SH,AA+,6.50%,110.91276741235322,100.5521,113.65711170185685
267,196147.SH,AA+,6.50%,107.63479490885146,100.5521,110.29803144736292
268,162859.SH,AA+,6.50%,104.1725443641735,100.6767,106.75011351079857
269,178554.SH,AAA,6.49%,113.07448536684929,104.9608,115.87231762227738
270,152360.SH,AAA,6.48%,116.18670404736585,101.9587,119.06154276258056
271,167415.SH,AA+,6.48%,108.90888187781866,103.2666,111.60364349120825
272,163777.SH,AAA,6.48%,105.2285837755323,101.7599,107.83228278795792
273,152382.SH,AAA,6.44%,115.65391624046032,99.9587,118.51557204436995
274,152713.SH,AAA,6.40%,117.6119625047888,100.8416,120.52206677148104
275,197931.SH,AA+,6.40%,110.8116708420011,100.9118,113.55351367200636
276,167537.SH,AA+,6.40%,113.76711842170963,100.9644,116.58208868219495
277,197783.SH,AA+,6.40%,110.96086665033263,101.2099,113.70640107215516
278,152326.SH,AAA,6.40%,116.26730745585904,101.5255,119.1441405627833
279,152520.SH,AAA,6.40%,119.25845148654236,103.1737,122.20929527078722
280,124890.SH,AAA,6.40%,112.0158897983399,114.914,114.7875289402869
281,155337.SH,AA+,6.40%,112.90223470300621,105.1025,115.69580491415653
282,163162.SH,AA+,6.40%,106.21705903620102,105.7166,108.84521615656335
283,196548.SH,AA+,6.40%,110.67968457778088,100.6312,113.41826163632486
284,178731.SH,AAA,6.38%,112.47923937746808,104.3349,115.26234330206535
