证券代码,证券简称,"收盘价
[交易日期] 2022-01-27
[债券价格类型] 收益率
[单位] 元","收盘价
[交易日期] 2022-01-27
[债券价格类型] 净价
[单位] 元","收盘价
[交易日期] 2022-01-27
[债券价格类型] 全价
[单位] 元","报价买入收益率(最优)
[交易日期] 2022-01-27
[单位] %","剩余期限(年)
[日期] 最新
[单位] 年","债券初始面值
[单位] 元",最新债项评级,到期日期,利率类型,计息方式,利率说明,每年付息次数,Coupon Date,"债券期限(年)
[单位] 年",债券期限(文字),计息基准,付息日说明,"债券期限(年)
[单位] 年","发行总额
[单位] (100M)元"
092000002.IB,20中债增金融永续债01,3.7438,100.3383,103.6802,,1.1041,100.0000,AAA,2023-03-12,固定利率,单利,3.8%,1,3月12日,3.0000,3+N,ACT/ACT,"每年3月12日付息,节假日顺延",3.0000,"1,500,000,000.0000"
092000003.IB,20中国信达债02BC(品种一),3.0494,99.7742,102.2182,,1.1260,100.0000,AAA,2023-03-20,固定利率,单利,2.85%,1,3月20日,3.0000,3,ACT/ACT,"每年3月20日付息,节假日顺延",3.0000,"5,000,000,000.0000"
092000004.IB,20中国信达债02BC(品种二),3.8000,100.6803,104.0247,,8.1260,100.0000,AAA,2030-03-20,固定利率,单利,3.90%,1,3月20日,10.0000,10,ACT/ACT,"每年3月20日付息,节假日顺延",10.0000,"10,000,000,000.0000"
092000006.IB,20新开发银行债(疫情防控债)01BC,2.3498,100.0881,102.0787,,1.1644,100.0000,,2023-04-03,固定利率,单利,2.43%,1,4月3日,3.0000,3,ACT/ACT,"每年4月3日付息,节假日顺延",3.0000,"5,000,000,000.0000"
092000007.IB,20三井住友债01,3.1241,100.0883,102.1310,,1.3452,100.0000,,2023-06-08,固定利率,单利,3.2000%,1,6月8日,3.0000,3,ACT/ACT,"每年6月8日付息,节假日顺延",3.0000,"1,000,000,000.0000"
092000008.IB,20亚投行债(疫情防控债)01BC,2.6201,99.6979,101.1839,,1.3644,100.0000,,2023-06-15,固定利率,单利,2.4%,1,6月15日,3.0000,3,ACT/ACT,"每年6月15日付息,节假日顺延",3.0000,"3,000,000,000.0000"
092000009.IB,20新开发银行债02BC,2.8789,100.3810,102.0577,,3.4247,100.0000,,2025-07-07,固定利率,单利,3.0000%,1,7月7日,5.0000,5,ACT/ACT,"每年7月7日付息,节假日顺延",5.0000,"2,000,000,000.0000"
092000010.IB,20东方债02BC,3.0881,100.4384,101.9523,2.9736,1.5370,100.0000,AAA,2023-08-17,固定利率,单利,3.39%,1,8月17日,3.0000,3,ACT/ACT,"每年8月17日付息,节假日顺延",3.0000,"7,000,000,000.0000"
092000011.IB,20渣打二级资本债01,4.7463,100.0000,101.8089,,8.6027,100.0000,,2030-09-10,固定利率,单利,4.7500%,1,9月10日,10.0000,10,ACT/ACT,"每年9月10日付息,节假日顺延",10.0000,"4,000,000,000.0000"
092000012.IB,20法农银行债01,2.7420,101.1755,102.4988,,1.6055,100.0000,AAA,2023-09-11,固定利率,单利,3.5%,1,9月11日,3.0000,3,ACT/ACT,"每年9月11日付息,节假日顺延",3.0000,"1,000,000,000.0000"
