,close,volume,boll_upper,expma_expma,ma_ma
2021-12-21 10:27:00,8.79,395800.0,9.1628376,8.8162081,8.6294
2021-12-21 10:28:00,8.76,971600.0,9.1550286,8.810855,8.6366
2021-12-21 10:29:00,8.73,699800.0,9.1474896,8.8031545,8.6456
2021-12-21 10:30:00,8.72,845400.0,9.13938,8.795235,8.6546
2021-12-21 10:31:00,8.72,148900.0,9.1360223,8.7880698,8.6632
2021-12-21 10:32:00,8.7,396000.0,9.1365096,8.7796822,8.6716
2021-12-21 10:33:00,8.73,260900.0,9.1333358,8.7749506,8.6802
2021-12-21 10:34:00,8.81,375600.0,9.1330554,8.7782886,8.6892
2021-12-21 10:35:00,8.79,475000.0,9.1326738,8.779404,8.6986
2021-12-21 10:36:00,8.78,181100.0,9.1306199,8.7794607,8.7086
2021-12-21 10:37:00,8.76,386450.0,9.1232907,8.7776073,8.7178
2021-12-21 10:38:00,8.77,93700.0,9.0904271,8.7768828,8.727
2021-12-21 10:39:00,8.78,174400.0,9.0425022,8.7771797,8.7354
2021-12-21 10:40:00,8.79,128800.0,8.9936106,8.7784007,8.744
2021-12-21 10:41:00,8.78,323880.0,8.9522246,8.778553,8.7514
2021-12-21 10:42:00,8.75,316320.0,8.9228902,8.7758337,8.759
2021-12-21 10:43:00,8.73,191800.0,8.890452,8.7714686,8.7662
2021-12-21 10:44:00,8.74,292200.0,8.8625843,8.7684716,8.7728
2021-12-21 10:45:00,8.75,290500.0,8.8466823,8.7667124,8.779
2021-12-21 10:46:00,8.78,119380.0,8.8368254,8.7679778,8.7834
2021-12-21 10:47:00,8.78,345800.0,8.8302424,8.7691228,8.786
2021-12-21 10:48:00,8.76,240620.0,8.8194845,8.768254,8.7902
2021-12-21 10:49:00,8.73,249800.0,8.8120416,8.7646107,8.7922
2021-12-21 10:50:00,8.7,525700.0,8.8146041,8.7584573,8.7944
2021-12-21 10:51:00,8.73,65800.0,8.8146657,8.7557471,8.7976
2021-12-21 10:52:00,8.73,129300.0,8.8135794,8.753295,8.8004
2021-12-21 10:53:00,8.73,42400.0,8.8100305,8.7510764,8.803
2021-12-21 10:54:00,8.72,131790.0,8.8096103,8.7481168,8.8054
2021-12-21 10:55:00,8.71,110200.0,8.8103804,8.7444866,8.8064
2021-12-21 10:56:00,8.74,187700.0,8.8101413,8.7440593,8.807
2021-12-21 10:57:00,8.74,69766.0,8.8098437,8.7436727,8.8084
2021-12-21 10:58:00,8.72,86600.0,8.8083768,8.7414182,8.8076
2021-12-21 10:59:00,8.72,182400.0,8.8087135,8.7393783,8.8068
2021-12-21 11:00:00,8.71,125300.0,8.801701,8.7365804,8.8034
2021-12-21 11:01:00,8.72,39800.0,8.7970469,8.7350013,8.7988
2021-12-21 11:02:00,8.73,169136.0,8.793316,8.734525,8.7912
2021-12-21 11:03:00,8.74,118900.0,8.7920375,8.7350464,8.783
2021-12-21 11:04:00,8.74,220300.0,8.7895312,8.7355182,8.7754
2021-12-21 11:05:00,8.8,644500.0,8.7934077,8.7416593,8.7702
2021-12-21 11:06:00,8.83,343540.0,8.8027077,8.7500727,8.767
2021-12-21 11:07:00,8.79,442260.0,8.8042048,8.7538753,8.7632
2021-12-21 11:08:00,8.8,195640.0,8.8100538,8.7582681,8.7604
2021-12-21 11:09:00,8.81,95000.0,8.8175939,8.763195,8.759
2021-12-21 11:10:00,8.81,138660.0,8.8242916,8.7676526,8.7582
2021-12-21 11:11:00,8.83,285200.0,8.8336613,8.7735905,8.7582
2021-12-21 11:12:00,8.83,206620.0,8.840466,8.7789628,8.758
2021-12-21 11:13:00,8.85,301000.0,8.850495,8.7857282,8.7586
