wind_code,date,i_weight
002945.SZ,2021-06-01,0.0165
003816.SZ,2021-06-01,0.1612
300003.SZ,2021-06-01,0.2036
300014.SZ,2021-06-01,0.6033
300015.SZ,2021-06-01,0.7042
300033.SZ,2021-06-01,0.1266
300059.SZ,2021-06-01,1.2877
300122.SZ,2021-06-01,0.6241
300124.SZ,2021-06-01,0.5007
300136.SZ,2021-06-01,0.1112
300142.SZ,2021-06-01,0.5353
300144.SZ,2021-06-01,0.1424
300347.SZ,2021-06-01,0.4751
300408.SZ,2021-06-01,0.2048
300413.SZ,2021-06-01,0.2572
300433.SZ,2021-06-01,0.215
300498.SZ,2021-06-01,0.3144
300529.SZ,2021-06-01,0.1771
300601.SZ,2021-06-01,0.3031
300628.SZ,2021-06-01,0.1031
300676.SZ,2021-06-01,0.1276
600000.SH,2021-06-01,0.5941
600009.SH,2021-06-01,0.2392
600010.SH,2021-06-01,0.1834
600011.SH,2021-06-01,0.0911
600015.SH,2021-06-01,0.195
600016.SH,2021-06-01,0.4956
600018.SH,2021-06-01,0.0813
600019.SH,2021-06-01,0.3517
600025.SH,2021-06-01,0.0489
600028.SH,2021-06-01,0.297
600029.SH,2021-06-01,0.1401
600030.SH,2021-06-01,1.0902
600031.SH,2021-06-01,0.9317
600036.SH,2021-06-01,3.5258
600048.SH,2021-06-01,0.4764
600050.SH,2021-06-01,0.2005
600061.SH,2021-06-01,0.115
600085.SH,2021-06-01,0.1133
600104.SH,2021-06-01,0.354
600109.SH,2021-06-01,0.1569
600111.SH,2021-06-01,0.2384
600115.SH,2021-06-01,0.1199
600118.SH,2021-06-01,0.0899
600150.SH,2021-06-01,0.0562
600161.SH,2021-06-01,0.1156
600176.SH,2021-06-01,0.199
600183.SH,2021-06-01,0.1321
600196.SH,2021-06-01,0.4082
600233.SH,2021-06-01,0.0686
600276.SH,2021-06-01,1.6212
600299.SH,2021-06-01,0.0182
600309.SH,2021-06-01,0.911
600332.SH,2021-06-01,0.0893
600340.SH,2021-06-01,0.0418
600346.SH,2021-06-01,0.3094
600352.SH,2021-06-01,0.186
600362.SH,2021-06-01,0.1355
600383.SH,2021-06-01,0.1202
600406.SH,2021-06-01,0.3477
600436.SH,2021-06-01,0.5839
600438.SH,2021-06-01,0.5304
600482.SH,2021-06-01,0.0556
600489.SH,2021-06-01,0.0952
600519.SH,2021-06-01,5.592
600522.SH,2021-06-01,0.1283
600547.SH,2021-06-01,0.1945
600570.SH,2021-06-01,0.3808
600584.SH,2021-06-01,0.1874
600585.SH,2021-06-01,0.581
600588.SH,2021-06-01,0.287
600600.SH,2021-06-01,0.1792
600606.SH,2021-06-01,0.1055
600655.SH,2021-06-01,0.1099
600660.SH,2021-06-01,0.3558
600690.SH,2021-06-01,0.563
600703.SH,2021-06-01,0.3118
600705.SH,2021-06-01,0.1055
600741.SH,2021-06-01,0.1881
600745.SH,2021-06-01,0.2166
600760.SH,2021-06-01,0.1576
600763.SH,2021-06-01,0.4217
600795.SH,2021-06-01,0.1423
600809.SH,2021-06-01,0.7963
600837.SH,2021-06-01,0.4492
600845.SH,2021-06-01,0.0843
600848.SH,2021-06-01,0.0641
600872.SH,2021-06-01,0.1372
600886.SH,2021-06-01,0.1337
600887.SH,2021-06-01,1.2163
600893.SH,2021-06-01,0.281
600900.SH,2021-06-01,0.9004
600918.SH,2021-06-01,0.0422
600919.SH,2021-06-01,0.4627
600926.SH,2021-06-01,0.2396
600958.SH,2021-06-01,0.2122
600989.SH,2021-06-01,0.053
600999.SH,2021-06-01,0.3706
601006.SH,2021-06-01,0.2017
601009.SH,2021-06-01,0.3116
601012.SH,2021-06-01,1.3256
601021.SH,2021-06-01,0.1182
601066.SH,2021-06-01,0.1585
601077.SH,2021-06-01,0.0372
601088.SH,2021-06-01,0.3287
601100.SH,2021-06-01,0.1563
601108.SH,2021-06-01,0.1392
601111.SH,2021-06-01,0.1257
601138.SH,2021-06-01,0.1227
601155.SH,2021-06-01,0.2193
601162.SH,2021-06-01,0.0876
601166.SH,2021-06-01,1.6321
601169.SH,2021-06-01,0.3601
601186.SH,2021-06-01,0.1748
601211.SH,2021-06-01,0.3928
601216.SH,2021-06-01,0.0954
601225.SH,2021-06-01,0.2386
601229.SH,2021-06-01,0.4168
601231.SH,2021-06-01,0.0545
601236.SH,2021-06-01,0.0478
601238.SH,2021-06-01,0.0543
601288.SH,2021-06-01,0.4637
601318.SH,2021-06-01,3.8266
601319.SH,2021-06-01,0.0651
601328.SH,2021-06-01,0.6645
601336.SH,2021-06-01,0.2092
601360.SH,2021-06-01,0.1324
601377.SH,2021-06-01,0.2759
601390.SH,2021-06-01,0.273
601398.SH,2021-06-01,0.9016
601555.SH,2021-06-01,0.1327
601600.SH,2021-06-01,0.1744
601601.SH,2021-06-01,0.5658
601607.SH,2021-06-01,0.1296
601618.SH,2021-06-01,0.1078
601628.SH,2021-06-01,0.2915
601633.SH,2021-06-01,0.2273
601658.SH,2021-06-01,0.0998
601668.SH,2021-06-01,0.5116
601669.SH,2021-06-01,0.1482
601688.SH,2021-06-01,0.4931
601696.SH,2021-06-01,0.0244
601698.SH,2021-06-01,0.036
601727.SH,2021-06-01,0.0811
601766.SH,2021-06-01,0.3667
601788.SH,2021-06-01,0.1613
601800.SH,2021-06-01,0.1185
601808.SH,2021-06-01,0.0423
601816.SH,2021-06-01,0.0982
601818.SH,2021-06-01,0.3013
601838.SH,2021-06-01,0.1464
601857.SH,2021-06-01,0.2272
601872.SH,2021-06-01,0.0535
601877.SH,2021-06-01,0.1703
601878.SH,2021-06-01,0.0995
601881.SH,2021-06-01,0.0707
601888.SH,2021-06-01,1.6199
601899.SH,2021-06-01,0.7811
601901.SH,2021-06-01,0.2044
601916.SH,2021-06-01,0.0667
601919.SH,2021-06-01,0.5371
601933.SH,2021-06-01,0.1081
601939.SH,2021-06-01,0.2288
601985.SH,2021-06-01,0.1345
601988.SH,2021-06-01,0.3496
601989.SH,2021-06-01,0.1884
601990.SH,2021-06-01,0.068
601998.SH,2021-06-01,0.0798
603019.SH,2021-06-01,0.1402
603087.SH,2021-06-01,0.0408
603160.SH,2021-06-01,0.1488
603195.SH,2021-06-01,0.0622
603259.SH,2021-06-01,1.1184
603288.SH,2021-06-01,0.8721
603369.SH,2021-06-01,0.1856
603392.SH,2021-06-01,0.0763
603501.SH,2021-06-01,0.6454
603658.SH,2021-06-01,0.0777
603799.SH,2021-06-01,0.3719
603833.SH,2021-06-01,0.1381
603899.SH,2021-06-01,0.158
603986.SH,2021-06-01,0.3123
603993.SH,2021-06-01,0.2018
